municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
Floyd,Oneida,"3,777",No,90,3,Decision as of: 12/7/2021,Village,,,1,,,No,,
Forestport,Oneida,"1,533",No,205,3,Decision as of: 12/2021,Village,,,1,,,No,,
Holland Patent,Oneida,448,Yes,1,3,Correspondence with Town,Town,,,1,,,Yes,,
Kirkland,Oneida,"10,065",No,88,3,Decision as of: 12/13/2021,Town,,,1,,,No,,
Lee ,Oneida,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
Marcy,Oneida,"9,437",Yes,87,3,Correspondence with Town,Town,,,1,,,Yes,,
Marshall,Oneida,"2,119",Yes,85,3,Correspondence with Village,Village,,,1,,,Yes,,
New Hartford,Oneida,"21,992",Yes,66,3,Correspondence with Town,Town,,,1,,,Yes,,
New Hartford ,Oneida,#FIELD!,No,#FIELD!,3,Decision as of: 12/14/2021,Town,,,1,,,No,,
New York Mills,Oneida,"3,229",Yes,3,3,Correspondence with Town,Town,,,1,,,Yes,,
Oneida Castle,Oneida,625,Yes,1,3,Decision as of: 11/9/2021,Town,,,0,,,Yes,,
Oriskany,Oneida,"1,337",Yes,2,3,Correspondence with Town,Town,,,1,,,Yes,,
Oriskany Falls,Oneida,693,Yes,1,3,Correspondence with Village,Village,,,1,,,Yes,,
Paris,Oneida,"4,243",Yes,82,3,Correspondence with Village,Village ,,,1,,,Yes,,
Remsen,Oneida,"1,878",No,96,3,Decision as of: 10/5/2021,Village,,,1,,,No,,
Remsen ,Oneida,#FIELD!,Yes,#FIELD!,3,Decision as of: 11/9/2021,Village,,,1,,,Yes,,
Rome ,Oneida,#FIELD!,Yes,#FIELD!,3,"Decision as of: 11/15/2021—""The Village Board decided not to adopt a Local Law opting out of retail of cannabis in the Village.""",Village ,,,1,,,Yes,,
Sangerfield,Oneida,"2,484",Yes,80,3,Correspondence with Town,Town,,,1,,,Yes,,
Sherrill,Oneida,"3,077",Yes,5,3,Correspondence with Town,Town,,,0,,,Yes,,
Steuben,Oneida,"1,127",Yes,111,3,Correspondence with Village,Village,,,1,,,Yes,,
Sylvan Beach,Oneida,876,Yes,2,3,Correspondence with City,City,,,1,,,Yes,,
Trenton,Oneida,"4,418",Yes,113,3,Correspondence with Town,Town,,,1,,,Yes,,
Utica ,Oneida,#FIELD!,No,#FIELD!,3,Decision as of: 8/23/2021,City,,,1,,,No,,
Vernon,Oneida,"5,351",Yes,98,3,Correspondence with Town,Town,,,0,,,Yes,,
Vernon,Oneida,"5,351",No,98,3,Correspondence with Village,Village,,,1,,,Yes,,
Verona,Oneida,"6,182",Yes,181,3,Correpondence with Town,Town,,,1,,,Yes,,
Vienna,Oneida,"5,344",Yes,246,3,Correspondence with City,City,,,1,,,Yes,,
Waterville,Oneida,"1,526",No,3,3,Decision as of: 10/4/2021,Town,,,1,,,No,,
Western ,Oneida,#FIELD!,Yes,#FIELD!,3,Correspondence with Village,Village,,,1,,,Yes,,
Westmoreland,Oneida,"6,051",Yes,112,3,Correspondence with Town,Town,,,0,,,Yes,,
Whitesboro,Oneida,"3,632",Yes,3,3,Correspondence with Town,Town,,,1,,,Yes,,
Whitestown,Oneida,"18,254",No,70,3,"Decision as of: 11/22/2021; Referendum overturned dispensary opt-out, but  affirmed opt out of consumption sites 3/15/22",Village,,,1,,,Yes,,
Yorkville ,Oneida,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
Baldwinsville,Oneida,"7,898",No,8,3,Decision as of: 12/28/2021,Town,,,0,,,No,,
Camillus,Oneida,"24,161",Yes,89,3,"Decision as of: 8/9/2021—""A motion was made by Trustee Hobin, seconded by Trustee Daviau for the Village to choose not to opt out of allowing cannabis sales in the Village. Votes: Mayor Friedlander – Y; Trustee Hobin – Y; Trustee Daviau – Y; Trustee Gowans – Y; Trustee Loubier – N. 4/ 5 in favor, 1 Nay. Motion carried.""",Village,,,0,,,Yes,,
Camillus ,Oneida,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
Cicero,Oneida,"30,715",Yes,126,3,Correspondence with Village,Village,,,0,,,Yes,,
Clay,Onondaga,"59,360",No,126,3,Decision as of: 12/2/2021,Village ,,,1,,,No,,
DeWitt,Onondaga,"26,074",No,88,3,Decision as of: 7/2/2021; Referendum affirmed to opt out: 11/2/2021,Town,,,1,,,No,,
East Syracuse,Onondaga,"2,935",No,4,3,Decision as of: 7/30/2021; Referendum affirmed to opt out: 11/2/2021,Village,,,1,,,No,,
Elbridge,Onondaga,"5,706",No,99,3,Decision as of: 12/8/2021,Town,,,0,,,No,,
Elbridge,Onondaga,"5,706",Yes,99,3,Correspondence with Town,Town,,,0,,,Yes,,
Fabius,Onondaga,"1,942",Yes,121,3,Correspondence with Town,Town,,,0,,,Yes,,
Fabius,Onondaga,"1,942",Yes,121,3, Decision as of: 9/21/2021,Village,,,0,,,Yes,,
Fayetteville,Onondaga,"4,084",No,4,3,Decision as of: 12/8/2021,Town,,,0,,,No,,
Geddes,Onondaga,"17,088",No,32,3,Decision as of: 11/17/2021,Village,,,1,,,No,,
Jondal,Onondaga,397,No,1,3,Decision as of: 8/16/2021,Town,,,0,,,No,,
LaFayette,Onondaga,"4,828",No,103,3,Decision as of: 12/1/2021,Village,,,0,,,No,,
Liverpool,Onondaga,"2,216",No,2,3,Decision as of: 12/20/2021,Village,,,0,,,No,,
Lysander,Onondaga,"22,916",Yes,167,3,Decision as of: 7/26/2021; Referendum overturned to opt out: 11/2/2021 ,Town,,,1,,,Yes,,
Manlius,Onondaga,"32,210",No,129,3,Decision as of: 11/8/2021,Village,,,1,,,No,,
Manlius,Onondaga,"32,210",No,129,3,Decision as of: 7/13/2021,Town,,,0,,,No,,
Marcellus,Onondaga,"6,051",No,84,3,Decision as of: 9/20/2021,Village,,,1,,,No,,
Marcellus,Onondaga,"1,745",No,2,3,Decision as of: 12/2/2021,Town,,,0,,,Yes,,
Minda,Onondaga,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
North Syracuse,Onondaga,"6,658",No,5,3,Decision as of: 7/13/2021,Village,,,1,,,No,,
Onondaga,Onondaga,"22,937",Yes,150,3,"Decision as of: 10/6/2021—""Supervisor Pollard made a motion seconded by Councilor Stevens not to opt out of having retail sales/dispensaries in the Town of Marcellus.""",Town,,,1,,,Yes,,
Otisco,Onondaga,"2,530",No,81,3,Decision as of: 12/20/2021,Village,,,0,,,No,,
Pompey,Onondaga,"7,279",No,172,3,"Decision as of: 12/20/2021; referendu planned for March 15, 2022",Village,,,0,,,No,,
Salina,Onondaga,"33,223",Yes,39,3,Correspondence with Village,Village ,,,1,,,Yes,,
Skaneateles,Onondaga,"7,112",No,126,3,Decision as of: 10/18/2021 (on-site consumption only),Town,,,1,,,Yes,,
Skaneateles,Onondaga,"2,463",No,4,3,Decision as of: 8/9/2021,Town,,,0,,,No,,
Solvay,Onondaga,"6,266",No,4,3,Decision as of: 10/4/2021,Town,,,0,,,No,,
Spafford,Onondaga,"1,651",No,102,3,Decision as of: 12/28/2021,Town,,,1,,,Yes,,
Syracuse,Onondaga,"148,620",No,66,3,Decision as of: 12/6/2021,Town,,,1,,,Yes,,
Tully,Onondaga,951,No,68,3,Decision as of: 12/21/2021,Village,,,0,,,No,,
Tulus,Onondaga,#FIELD!,No,#FIELD!,3,Decision as of: 11/23/2021,Village,,,1,,,No,,
Van Buren,Onondaga,"13,367",Yes,93,3,"Decision as of: 7/22/2021 - ""Following a discussion, the Town Board agreed it will take no action at this time regarding MRTA
beyond examining potential zoning and regulations that may become necessary.""",Town,,,1,,,Yes,,
West Bloomfield,Onondaga,"2,503",Yes,66,2,Correspondence with City,City,,,1,,,Yes,,
Bristol,Onondaga,"2,247",No,95,2,Decision as of: 8/11/2021,Town,,,0,,,No,,
Canadice,Onondaga,"1,672",Yes,84,2,Decision as of: 7/22/2021; Opt out overturned by vote: 11/2/2021,Village,,,1,,,Yes,,
Canandaigua ,Onondaga,#FIELD!,No,#FIELD!,2,Decision as of: 10/6/2021 (on-site consumption only),Town,,,1,,,Yes,,
Canandaigua,Ontario,"11,109",Yes,162,2,Decision as of: 10/27/2021,Village,,,0,,,Yes,,
Clifton Springs,Ontario,"2,024",No,4,2,Decision as of: 12/13/2021,Town,,,1,,,No,,
East Bloomfield,Ontario,"3,554",Yes,86,2,"Decision as of: 7/12/2021—""Supervisor Singer questioned if the Board wants to consider passing legislation opting out of allowing retail sales of marijuana in Canadice. There was no interest from the Board to pass this type of legislation.""
",Town,,,0,,,Yes,,
Farmington,Ontario,"13,303",No,102,2,Decision as of: 8/5/2021,City,,,0,,,Yes,,
Geneva,Ontario,"12,812",No,15,2,Decision as of: 7/19/2021,Town,,,1,,,No,,
Geneva,Ontario,"12,812",Yes,15,2,"Decision as of: 8/9/2021—""All Board members present agreed to opt in.""",Village,,,1,,,Yes,,
Gorham,Ontario,"4,255",No,138,2,Decision as of: 11/8/2021,Town,,,1,,,No,,
Hopewell,Ontario,"3,681",No,92,2,Decision as of: 10/26/2021,Town,,,0,,,No,,
Manchester,Ontario,"5,065",Yes,12,2,"Decision as of: 10/6/2021—""After a straw vote was called, it was agreed that the city would allow on-site consumption establishments.""",City,,,0,,,Yes,,
Manchester ,Ontario,#FIELD!,Yes,#FIELD!,2,Finger Lake Times reporting,Town,,,1,,,Yes,,
Naples,Ontario,"2,458",Yes,103,2,8/9/22 voter overturned Town's 12/22/21 decision to opt out,Town,,,0,,,Yes,,
Naples,Ontario,"2,458",No,103,2,Decision as of: 9/15/2021,Town,,,1,,,No,,
Phelps,Ontario,"6,637",No,169,2,Decision as of: 11/9/2021,Town,,,1,,,No,,
Phelps,Ontario,"6,637",Yes,169,2,"Decision as of: 11/1/2021 - ""After a discussion the Board decided not to opt out of the Cannabis Law.""",Village,,,1,,,Yes,,
Richmond ,Ontario,#FIELD!,No,#FIELD!,2,Decision as of: 11/2/2021,Town,,,0,,,No,,
Rushville,Ontario,672,Yes,2,2,Decision as of: 10/20/2021,Village,,,1,,,Yes,,
Seneca,Ontario,"1,068",Yes,84,2,Correspondene with Town,Town,,,0,,,Yes,,
Shortsville,Ontario,"1,420",Yes,2,2,Decision as of: 11/8/2021,Village,,,0,,,Yes,,
South Bristol,Ontario,"1,585",No,109,2,Decision as of: 11/9/2021,Town,,,0,,,No,,
Victor,Ontario,"15,069",Yes,93,2,Correspondence with Village,Village,,,1,,,Yes,,
Victor,Ontario,"15,069",No,93,2,Decision as of: 12/30/2021,Town,,,1,,,No,,
West Bloomfield,Ontario,"2,503",No,66,2,Decision as of: 6/9/2021,Village,,,0,,,No,,
Blooming Grove,Ontario,"17,609",No,91,2,Decision as of: 11/8/2021,Town,,,0,,,No,,
Chester,Ontario,"11,944",No,65,2,Decision as of: 10/25/21 (on-site consumption),Town,,,0,,,Yes,,
Chester,Ontario,"4,099",No,5,2,Decision as of: 10/4/2021 (on-site consumption only),Village,,,0,,,Yes,,
Cornwall,Ontario,"12,884",No,73,2,Decision as of: 10/27/2021,Town,,,0,,,No,,
Cornwall on Hudson,Orange,"2,922",No,5,2,Decision as of: 10/19/2021,Town,,,0,,,No,,
Crawford,Orange,"9,190",No,104,2,Decision as of: 10/27/2021,Town,,,0,,,No,,
Deerpark,Orange,"7,509",No,176,2,Decision as of: 7/12/2021,Village,,,0,,,No,,
Florida,Orange,"3,049",No,5,2,Decision as of: 7/12/2021,Town,,,0,,,No,,
Goshen,Orange,"14,094",No,114,2,Decision as of: 12/20/2021,Village,,,0,,,No,,
Goshen,Orange,"5,777",No,9,2,Decision as of: 7/27/2021,Town,,,0,,,No,,
Greenville,Orange,"4,674",No,79,2,Decision as of: 12/6/2021,Town,,,0,,,No,,
Greenwood Lake,Orange,"2,994",No,6,2,Correspondence with Village,Village ,,,0,,,No,,
Hamptonburgh,Orange,"5,529",No,70,2,Decision as of: 8/26/2021,Town,,,0,,,No,,
Harriman,Orange,"2,437",No,3,2,Decision as of: 8/23/2021,Village,,,0,,,No,,
Highland Falls,Orange,"3,824",No,3,2,Decision as of: 9/16/2021,Town,,,0,,,No,,
Highlands,Orange,"12,284",No,87,2,Decision as of: 11/27/2021,Village,,,0,,,No,,
Kiryas Joel,Orange,"32,954",No,3,2,Decision as of: 10/4/2021,Town,,,1,,,No,,
Maybrook,Orange,"3,688",No,3,2,Decision as of: 11/9/2021 and 12/14/2021—opt out had to be redone,Village ,,,0,,,No,,
Middletown,Orange,"30,345",No,14,2,Decision as of: 12/6/2021,Village,,,0,,,No,,
Minisink,Orange,"4,621",No,60,2,Decision as of: 10/25/2021,Town,,,0,,,No,,
Monroe,Orange,"19,791",Yes,55,2,Correspondence with Village (coterminous with Town of Palm Tree),Village,,,0,,,Yes,,
Monroe,Orange,"19,791",No,55,2,Decision as of: 8/30/2021,Village,,,0,,,No,,
Montgomery ,Orange,#FIELD!,No,#FIELD!,2,Decision as of: 7/20/2021,City,,,0,,,No,,
Montgomery,Orange,"3,834",No,4,2,Decision as of: 10/13/2021,Town,,,0,,,No,,
Mount Hope,Orange,"6,668",No,66,2,Decision as of: 10/18/2021,Town,,,0,,,No,,
New Windsor,Orange,"27,664",No,96,2,Decision as of: 12/21/2021,Village,,,0,,,No,,
Newburgh,Orange,"28,856",No,12,2,Decision as of: 12/1/2021,Town,,,1,,,No,,
Newburgh,Orange,"28,856",No,12,2,Decision as of: 12/21/2021,Village,,,1,,,No,,
Otisville,Orange,969,No,2,2,Decision as of: 8/16/2021,Town,,,0,,,No,,
Kiryas Joel,Orange,"32,954",No,3,2,Decision as of: 9/1/2021,Town,,,1,,,No,,
Port Jervis,Orange,"8,775",Yes,7,2,Correspondence with City,City,,,1,,,Yes,,
South Blooming Grove,Orange,"3,153",Yes,13,2,Correspondence with Town,Town,,,0,,,Yes,,
Tuxedo,Orange,"3,507",No,128,2,Decision as of: 8/19/2021,Village,,,1,,,No,,
Tuxedo Park,Orange,645,Yes,8,2,Coterminous with Village of Kiryas Joel,Town,,,0,,,Yes,,
Unionville,Orange,592,No,1,2,Decision as of: 10/25/2021 (on-site consumption only),City,,,0,,,Yes,,
Mladen ,Orange,124,No,#FIELD!,2,Correspondence with Village,Village,,,0,,,No,,
Wallkill,Orange,"30,486",No,163,2,Decision as of: 7/26/2021 (on-site consumption only); Referendum affirmed opt out: 11/2/2021,Town,,,0,,,Yes,,
Warwick,Orange,"32,027",No,272,2,Decision as of: 10/25/2021,Village,,,1,,,No,,
Warwick ,Orange,#FIELD!,No,#FIELD!,2,Decision as of: 11/1/2021,Village,,,0,,,No,,
Washingtonville,Orange,"5,657",No,6,2,Decision as of: 9/7/2021,Village,,,0,,,No,,
Wawayanda,Orange,"7,296",No,91,2,Decision as of: 11/18/2021,Town,,,1,,,No,,
Woodbury,Orange,"12,197",No,96,2,Decision as of: 11/18/21 (on-site consumption only),Town,,,1,,,Yes,,
Woodbury,Orange,"12,197",No,96,2,Decision as of: 12/6/2021,Village,,,1,,,No,,
Albion,Orange,"5,962",No,8,2,Decision as of: 12/22/2021,Village,,,0,,,No,,
Albion,Orange,"5,962",No,8,2,Decision as of: 7/22/2021,Town,,,1,,,Yes,,
Barre ,Orange,#FIELD!,Yes,#FIELD!,2,Correspondence with Town,Town,,,0,,,Yes,,
Carlton ,Orange,#FIELD!,Yes,#FIELD!,2,"Decision as of: 6/24/2021—""Motion on the adoption was defeated and the law was not adopted.""",Village,,,0,,,Yes,,
Clarendon,Orleans,"3,479",No,91,2,Decision as of: 11/9/2021,Town,,,0,,,No,,
Gaines,Orleans,"3,227",No,89,2,Decision as of: 10/27/2021 (dispensaries) and 11/10/2021 (on-site consumption),Village ,,,0,,,Yes,,
Holley,Orleans,"1,690",No,3,2,Decision as of: 10/13/2021,Town,,,0,,,No,,
Kendall,Orleans,"2,600",No,85,2,Decision as of: 12/30/2021,Town,,,0,,,No,,
Lyndonville,Orleans,782,No,3,2,Decision as of: 9/21/2021,Town,,,0,,,No,,
Minda,Orleans,#FIELD!,No,#FIELD!,2,Decision as of: 12/30/2021,Town,,,1,,,No,,
Murray ,Orleans,#FIELD!,No,#FIELD!,2,Decision as of: 12/14/2021,Village,,,0,,,No,,
Ridgeway,Orleans,"6,359",No,130,2,Correspondence with Town,Town,,,0,,,No,,
Shelby,Orleans,"5,034",No,121,2,Decision as of: 10/4/2021,Village,,,0,,,No,,
Yates,Orleans,"2,419",No,97,2,Decision as of: 10/25/2021 (dispensaries) and 12/13/2021 (on-site consumption only),Village ,,,0,,,Yes,,
Albion,Orleans,"2,559",No,124,3,Decision as of: 9/9/2021,Town,,,0,,,No,,
Amboy,Orleans,"1,311",No,98,3,Decision as of: 8/16/2021,Town,,,0,,,No,,
Boylston,Orleans,552,No,101,3,Decision as of: 11/9/2021,Town,,,1,,,No,,
Central Square,Orleans,"1,759",No,5,3,Decision as of: 11/4/2021,Town,,,0,,,No,,
Cleveland,Oswego,714,No,3,3,Decision as of: 11/8/2021,Town,,,0,,,No,,
Constantia,Oswego,"4,843",No,258,3,Correspondence with Town,Town,,,0,,,No,,
Fulton,Oswego,"11,389",Yes,13,3,Correspondence with Town,Town,,,1,,,Yes,,
Granby,Oswego,"6,500",No,120,3,Decision as of: 12/21/2021,Village,,,1,,,No,,
Hannibal,Oswego,"4,631",No,#FIELD!,3,Decision as of: 11/9/2021,Village,,,1,,,No,,
Hannibal ,Oswego,#FIELD!,No,#FIELD!,3,Decision as of: 9/21/2021,Town,,,1,,,No,,
Hastings ,Oswego,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,City,,,1,,,Yes,,
Lacona,Oswego,550,Yes,3,3,Correspondence with Town,Town,,,0,,,Yes,,
Mexico ,Oswego,#FIELD!,Yes,#FIELD!,3,Decision as of: 9/21/2021,Town,,,0,,,Yes,,
Mexico ,Oswego,#FIELD!,Yes,#FIELD!,3,"Correspondence with Village - Local Law prohibits dispensaries and/or onsite consumption from within 1,800 feet of any School, Church or other public gathering areas within the Village",Village,,,0,,,Yes,,
Minetto,Oswego,"1,643",Yes,#FIELD!,3,Correspondence with Town,Town,,,1,,,Yes,,
New Haven,Oswego,"2,835",No,87,3,Decision as of: 12/13/2021,Village,,,0,,,No,,
Orwell,Oswego,"1,170",No,107,3,Decision as of: 8/9/2021; Public Hearing to rescind original opt-out and adopt new opt-out law held: 12/13/2021,Town,,,0,,,No,,
Oswego ,Oswego,#FIELD!,No,#FIELD!,3,Decision as of: 6/2/2021,Village,,,1,,,No,,
Oswego,Oswego,"7,788",Yes,76,3,Correspondence with Town,Town,,,0,,,Yes,,
Palermo,Oswego,"3,534",No,106,3,Decision as of: 11/30/2021,Town,,,0,,,No,,
Parish,Oswego,"2,398",No,#FIELD!,3,Decision as of: 7/30/2021,Town,,,1,,,No,,
Parish,Oswego,"2,398",Yes,#FIELD!,3,No plans to opt out,City,,,1,,,Yes,,
Phoenix,Oswego,"2,257",No,3,3,Decision as of: 6/8/2021,Town,,,1,,,No,,
Pulaski,Oswego,"2,186",No,9,3,Decision as of: 11/23/2021,Town,,,1,,,No,,
Redfield,Oswego,559,Yes,242,3,Correspondence with Town,Town,,,0,,,Yes,,
Richland,Oswego,"5,572",Yes,156,3,Correspondence with Village,Village,,,0,,,Yes,,
Sandy Creek,Oswego,"3,813",Yes,#FIELD!,3,Correspondence with Village,Village,,,1,,,Yes,,
Sandy Creek,Oswego,"3,813",Yes,#FIELD!,3,Watertown Daily Times reporting,Village,,,0,,,Yes,,
Schroeppel,Oswego,"8,158",No,112,3,Decision as of: 12/14/2021,Town,,,1,,,No,,
Scriba,Oswego,"6,559",No,114,3,Decision as of: 12/14/2021,Town,,,1,,,No,,
Volney,Oswego,"5,682",Yes,127,3,"Decision as of: 7/14/2021—""The Town Board decided not to pursue a local law banning cannabis dispensaries and lounges in the Town of Sandy Creek.""",Town,,,0,,,Yes,,
West Monroe,Oswego,"4,110",No,100,3,Decision as of: 10/4/21  ,Village,,,1,,,No,,
Williamstown,Oswego,"1,253",Yes,102,3,Correspondence with Town,Town,,,0,,,Yes,,
Burlington,Oswego,"23,982",Yes,39,5,Decision as of: 7/27/2021—voted not to opt-out,Town,,,1,,,Yes,,
Butternuts,Oswego,"1,687",No,140,5,Decision as of: 9/28/2021; Public Hearing to rescind original opt-out and adopt new opt-out law held: 12/16/2021,Town,,,1,,,No,,
Cherry Valley,Oswego,"1,157",Yes,104,5,Correspondence with Town,Town,,,1,,,Yes,,
Cherry Valley,Oswego,"1,157",No,104,5,Correspondence with Town,Town,,,1,,,No,,
Cooperstown,Otsego,"1,762",Yes,5,5,Correspondence with Town,Town,,,1,,,Yes,,
Decatur,Otsego,336,Yes,54,5,Correspondence with Town,Town,,,1,,,Yes,,
Edmeston,Otsego,"1,744",Yes,116,5,Correspondence with Town,Town,,,0,,,Yes,,
Exeter,Otsego,933,Yes,85,5,Decision as of: 10/18/2021,Village,,,1,,,Yes,,
Gilbertsville,Otsego,373,No,3,5,Decision as of: 12/20/2021,Village ,,,0,,,Yes,,
Hartwick,Otsego,"2,013",Yes,104,5,Correspondence with Town,Town,,,1,,,Yes,,
Laurens,Otsego,"2,301",No,109,5,Decision as of: 10/12/2021,Town,,,1,,,No,,
Laurens,Otsego,"2,301",Yes,109,5,Correspondence with Town,Town,,,1,,,Yes,,
Maryland,Otsego,"1,812",No,134,5,Decision as of: 12/20/2021,Village,,,1,,,No,,
Middlefield,Otsego,"1,995",Yes,171,5,Correspondence with Town,Town,,,1,,,Yes,,
Milford,Otsego,"2,907",Yes,122,5,Correspondence with Town,Town,,,1,,,Yes,,
Milford,Otsego,"2,907",Yes,122,5,Decision as of: 12/15/2021,Village,,,0,,,Yes,,
Morris,Otsego,"1,764",Yes,102,5,Correspondence with Town,Town,,,1,,,Yes,,
Morris,Otsego,"1,764",Yes,102,5,Correspondance with Town,Town,,,0,,,Yes,,
New Lisbon,Otsego,"1,056",Yes,116,5,Correspondence with Town,Town,,,1,,,Yes,,
Oneonta ,Otsego,#FIELD!,No,#FIELD!,5,Correspondence with Village,Village,,,1,,,No,,
Oneonta,Otsego,"4,988",Yes,87,5,Correspondence with Town,Town,,,1,,,Yes,,
Otego,Otsego,"2,891",No,118,5,Correspondence with Village,Village,,,1,,,No,,
Otego,Otsego,"2,891",Yes,118,5,Correspondence with Town,Town,,,1,,,Yes,,
Otsego,Otsego,"3,717",Yes,150,5,AllOtsego.com reporting,City,,,0,,,Yes,,
Pittsfield,Otsego,"1,298",Yes,98,5,Correspondence with Town,Town,,,1,,,Yes,,
Plainfield,Otsego,867,Yes,76,5,Correspondence with Town,Town,,,1,,,Yes,,
Richfield,Otsego,"2,275",Yes,84,5,Correspondence with Village,Village,,,0,,,Yes,,
Richfield Springs,Otsego,"1,196",No,3,5,Decision as of: 12/22/2021,Town,,,1,,,No,,
Roseboom,Otsego,673,Yes,86,5,Correspondence with Town,Town,,,1,,,Yes,,
Springfield,Otsego,"1,279",Yes,118,5,Correspondence with Town,Town,,,1,,,Yes,,
Unadilla,Otsego,"4,141",No,121,5,Decision as of: 12/29/2021,Town,,,1,,,No,,
Unadilla,Otsego,"4,141",Yes,121,5,Correspondence with Village,Village,,,1,,,Yes,,
Westford,Otsego,825,Yes,88,5,Coorespondence with Town,Town,,,0,,,Yes,,
Worcester,Otsego,"2,109",Yes,121,5,Decision as of: 12/13/2021,Town,,,0,,,Yes,,
Brewster,Otsego,"2,352",Yes,1,2,"Decision as of: 7/13/2021—""The Board has decided to not opt out and will permit retail business and on-site consumption within the Town of Unadilla.""",Town,,,0,,,Yes,,
Carmel,Otsego,"34,245",Yes,105,2,Decision as of: 12/21/2021,Village,,,0,,,Yes,,
Cold Spring,Otsego,"1,986",No,2,2,Decision as of: 12/30/2021,Town,,,1,,,No,,
Kent ,Otsego,#FIELD!,No,#FIELD!,2,Decision as of: 12/13/2021,Town,,,0,,,No,,
Nelsonville,Putnam,634,No,3,2,Decision as of: 7/7/2021,Village,,,0,,,No,,
Patterson,Putnam,"11,891",No,85,2,Decision as of: 7/14/2021,Town,,,0,,,No,,
Philipstown,Putnam,"9,831",No,133,2,"Decision as of: 7/20/2021; Election voters opted in on dispensaries, out on on-site consumption: 11/2/2021  ",Village,,,0,,,Yes,,
Putnam Valley,Putnam,"11,600",No,111,2,Decision as of: 7/6/2021,Town,,,0,,,No,,
Southeast,Putnam,"18,058",No,91,2,Decision as of: 12/20/2021,Village,,,0,,,No,,
Berlin,Putnam,"3,769,495",No,892,3,Decision as of: 8/25/2021,Town,,,0,,,No,,
Brunswick ,Putnam,#FIELD!,No,#FIELD!,3,Decision as of: 11/4/2021,Town,,,1,,,No,,
Castleton-on-Hudson,Putnam,"1,473",No,2,3,Decision as of: 10/6/2021,Town,,,1,,,No,,
East Greenbush,Putnam,"16,348",No,63,3,Decision as of: 5/6/2021,Town,,,1,,,No,,
East Nassau,Rensselaer,559,No,13,3,Decision as of: 8/9/2021,Town,,,1,,,No,,
Grafton,Rensselaer,"2,161",No,119,3,Decision as of: 12/9/2021 (on-site consumption only),Town,,,1,,,Yes,,
Hoosick,Rensselaer,"6,766",Yes,164,3,Decision as of: 4/26/2021,Village,,,1,,,Yes,,
Hoosick Falls,Rensselaer,"3,373",No,4,3,Decision as of: 12/15/2021 (on-site consumption),Town,,,1,,,Yes,,
Nassau,Rensselaer,"4,783",Yes,117,3,Correspondence with Village,Village,,,1,,,Yes,,
Nassau,Rensselaer,"4,783",Yes,117,3,Correspondence with Town,Town,,,1,,,Yes,,
North Greenbush,Rensselaer,"13,929",No,49,3,Decision as of: 12/13/2021 (on-site consumption) - 9 month moratorium on dispensaries,Town,,,1,,,Yes,,
Petersburgh,Rensselaer,"1,486",Yes,108,3,Decision as of: 12/14/2021,Village,,,1,,,Yes,,
Pittstown,Rensselaer,"5,638",No,168,3,Decision as of: 12/30/2021 (on-site consumption),Town,,,1,,,Yes,,
Poestenkill,Rensselaer,"4,507",No,84,3,Decision as of: 12/22/2021,Village,,,1,,,Yes,,
Rensselaer,Rensselaer,"9,210",No,9,3,Decision as of: 12/22/2021 (on-site consumption),Town,,,1,,,Yes,,
Sand Lake,Rensselaer,"8,459",Yes,93,3,"Decision as of: 5/17/2021—""Legalization of Adult-Use Cannabis – There was a long discussion on this subject. On a vote of 4 AYES and 1 NOES the Town Board has decided to not take any action to prohibit.""
",Town,,,0,,,Yes,,
Schaghticoke,Rensselaer,"7,568",Yes,134,3,"Decision as of: 5/10/2021—""The Board agreed to allow; hopefully bring some revenue.""",Town,,,1,,,Yes,,
Schaghticoke,Rensselaer,"7,568",Yes,134,3,"Decision as of: 7/15/2021—""After comments from the Public and the Town Board members, it was decided that, although significant sales are not expected, the Town would take no action at this time.""",Town,,,1,,,Yes,,
Schodack,Rensselaer,"12,965",Yes,165,3,Correspondence with City,City,,,1,,,Yes,,
Stephentown,Rensselaer,"2,884",No,150,3,Decision as of: 12/8/2021,Town,,,1,,,No,,
Troy,Rensselaer,"51,401",Yes,30,3,Correspondence with Town,Town,,,1,,,Yes,,
Valley Falls,Rensselaer,457,Yes,1,3,Correspondence with Village,Village,,,0,,,Yes,,
Airmont,Rensselaer,"10,166",No,12,2,Decision as of: 12/29/2021,Town,,,1,,,Yes,,
Chestnut Ridge,Rensselaer,"10,505",Yes,13,2,Correspondence with Town,Town,,,1,,,Yes,,
Clarkstown,Rensselaer,"86,329",Yes,121,2,Correspondence with City,City,,,0,,,Yes,,
Grand View-on-Hudson,Rensselaer,298,No,1,2,WTEN reporting,Village,,,0,,,No,,
Haverstraw,Rockland,"37,414",No,71,2,Decision as of: 12/28/2021,Village,,,1,,,Yes,,
